Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans1,11. 中央健保署已開始實施國際疾病分類第十版 ICD-10-CM/PCS，請問其中的 CM 代表？(*67),Clinical Modification .,Clinical Mode,Clinical Motivation ,Clinical Model,,,,
Ans4,"12. 下列有關 ICD-10-CM 的描述何者有誤，請問大約可編出多少代碼？(*67, 時事題)",長度最長可到七碼 ,長度至少三碼,在第 3 個字元後使用小數點 ,第一個字元是數字,※題目瑕疵，但因是單選題，無論是問描述何者有誤或是問大約可編出多少代碼，其中最符合的答案只有 D 這一項。,,,
Ans3,13. 以下何者是由美國國家醫學圖書館(NLM)制定，具有 Metathesaurus 和 Semantic Network 的醫學詞彙標準(*69),SNOMED ,LOINC .,UMLS ,DRG,,,,
Ans1,14. 下列哪一套醫學標準用以規定醫療院所使用的行政管理與臨床訊息交換格式？(*70),HL7 ,ICD10 ,UMLS ,SNOMED,,,,
Ans2,"15. 發展電子病歷或電子健康記錄，均會面臨個人隱私與資料保密的重要課題，因此美國制定了HIPAA 法案，為下列何者的縮寫？(*49, 65)",Health Interoperability Privacy and availability Act,Health Insurance Portability and Accountability Act,Health Infrastructure Platform Authority Act,Health Information Portability and Authentication Act,,,,
Ans1,16. 下列何者不是 HL7 組織所制定的標準？(*71),DICOM ,FHIR ,CDA ,Arden Syntax,,,,
Ans2,17. 電腦系統的發展，依不同時期主要有三種架構，包括甲：主機終端機架構(MainframeTerminal)，乙：結合全球資訊網的三層式架構(3-Tier Architecture)和丙：主從式架構(ClientServer Architecture)，電腦系統架構的發展，由最早期到最近的先後順序為何？(*421),甲乙丙 ,甲丙乙 ,乙甲丙 ,丙乙甲,,,,
Ans3,18. 電腦化醫令 CPOE，是下列何者的縮寫？(*418),Clinical Practice Office Electronic ,Communication Patient Observation Efficiency,Computerized Physician Order Entry ,Consumer Plan Outcome Expect,,,,
Ans2,19. 下列哪一個屬於護理資訊系統中建置措施及結果的標準依據？(*406),SNOMED .,NANDA-I .,NHIRD ,NLM,,,,
Ans3,20. 以下何者不是醫學資訊對電子簽章的要求？(*162~163),團體簽章 ,可偵測是否遭到修改 ,可察覺的 ,可解碼的,,,,
Ans2,21. 在非對稱密碼系統中，傳送前是採用哪一把金鑰進行電子簽章？(*159),傳送者的公鑰 ,傳送者的私鑰 ,接收者的公鑰 ,接收者的私鑰,,,,
Ans4,22. 資訊安全目標的宗旨在於保護資料及系統資源的三種性質，下列何者不是其中之一？(*137-138),Integrity ,Confidentiality ,Availability ,Authority,,,,
Ans2,23. 在資訊安全的目標中，確保實體之行為可唯一追溯到該實體的特性，稱之為資訊的哪一個特性？(*137-138),整體性 ,鑑別性 ,可取用性 ,機密性※選項有誤，正確答案為可歸責性，此題送分。,,,,
Ans3,24. 公開資料庫時的第一步隱私保護技術，必須先將能識別個人之欄位移除的動作為下列何者？(*174),知情同意權(Informed Consent) ,身分認證(Authentication),去識別化(Deidentification) ,多方私密計算(Multiparty SecureComputation),,,,
Ans3,25. 當醫院要導入新資訊系統的階段，必須保持舊資訊系統繼續正常運作。如要比較新、舊資訊系統間所產生數據的對應關係，應進行何種測試？(*220),整合測試 ,整體測試 ,平行測試 ,單元測試,,,,
Ans2,26. 資訊系統發展的各個階段會產生不同文件，下列敘述何者不正確？(*209),系統設計階段會產生系統功能規格書 ,系統分析階段會產生專案進度規劃書,系統測試階段會產生系統測試報告 ,系統撰寫程式階段會產生程式設計說明書,,,,
Ans4,27. 在資訊系統設計中，用以確立系統程式模組所對應的主要結構元件間的關聯性，是以下何種設計？(*206-207),資料設計 ,程序設計 ,介面設計 ,結構設計,,,,
Ans1,28. 下列那一項不是專案(Project)規劃必須掌握的三大核心元素之一？(*199),人力 ,時間 ,品質 ,成本,,,,
Ans3,29. 三層式資料庫結構將資料庫綱要分為三層，下列哪一層用來描述實際的資料庫儲存結構和存取路徑的細部資料？(*84),外部層 ,概念層 ,內部層 ,實體層,,,,
Ans3,30. SQL(Structured Query Language)是一種資料庫查詢語言，請問下列何者不屬於 SQL 的指令？(*82),Select ,Delete ,Query ,Update※課本所指 query 查詢指令是指 select，SQL 並無 query 指令。,,,,
Ans4,31. 請問下列何者屬於關聯式資料庫管理系統(Relational Data Base Management System)？(*89),MS Access ,Sybase ,Oracle ,以上皆是※選項 B 與 C 二者雖是物件導向式，但也都屬於關聯式資料庫。,,,,
Ans4,32. 有關關聯式資料庫的完整性限制，對於被參照資料表的主鍵(Primary Key)與參照資料表的外來鍵(Foreign Key)的敘述下列何者不正確？(*95),主鍵不可為空值,主鍵的值在資料表內必須是唯一無二,外來鍵的值必須是在被參照資料表的主鍵值或是空值,外來鍵在參照資料表內必須是唯一無二,,,,
Ans2,33. 一般系統維護中，針對系統內部軟體錯誤的維護性工作，稱之為？(*238),適應性維護 ,矯正性維護 ,預防性維護 ,完善性維護,,,,
Ans1,34. 下列對於臨床路徑的敘述何者錯誤？(*262),醫院在因應論量計酬支付制度，臨床路徑乃是諸多管理措施中最廣為採用之利器。,臨床路徑是一種固定的治療建議模式，讓病人由住院到出院都依此模式的規範來接受治療。,醫院可藉由臨床路徑來控制整個醫療成本並維持或改進醫療的品質。,臨床路徑希望找出最有成本效益的治療模式。,,,,
Ans4,35. 健康保險支付制度中，適用於長期照護論病例計酬的資源耗用群簡稱為下列何者？(*260),APGs ,DRGs ,HMOs ,RUGs,,,,
Ans1,"36. 在醫療資訊系統中，PIS 通常是指下列哪一種資訊系統的英文縮寫(*268, 400)",藥局資訊系統 ,放射資訊系統 ,檢驗資訊系統 ,護理資訊系統,,,,
Ans4,37. 醫院之運作主要分為醫療事務、醫療照護和經營管理三大項，對於下列管理系統的敘述，何者不正確？(*253),掛號管理和批價管理是屬於醫療事務,放射管理和檢驗管理是屬於醫療照護,採購管理和庫存管理是屬於經營管理 .,病歷管理和申報管理是屬於經營管理,,,,
Ans2,38. 一般床邊生理監視器不會測量以下哪樣生理參數？(*391-392),非侵入式血壓 ,腦波 ,血氧飽和度 ,心電圖,,,,
Ans3,39. 以下何者不是電子病歷文件的特質？(*501),多重關係人(Multiple Stakeholders) ,多重照護型態(Multiple Type Of Cares),多重保障(Multiple Guarantee) ,多重資料格式(Multiple Forms Of Data),,,,
Ans1,40. 急診檢傷分為五個等級，下列那一級屬於第一級？(*292),復甦急救 ,危急 ,緊急 ,次緊急,,,,
Ans3,41. 衛生福利部電子病歷交換中心(EEC)跨院交換服務，不包括下類哪一類病歷？(*32),門診病歷 ,出院病摘 ,癌症檢查報告 ,醫療影像及報告,,,,
Ans4,42. 電子病歷相關法令規定，下列何者不正確？(*508~511),電子病歷之簽名或蓋章，應以電子簽章方式為之。,電子簽章應於病歷製作後 24 小時內完成之。,電子簽章是指依附於電子文件並與其相關連，用以辨識及確認電子文件簽署人身分、資格及電子文件真偽者。,電子病歷之電子簽章，醫療機構只能使用 HCA 核發之醫事憑證進行數位簽章，不得訂定其他簽章方式。,,,,
Ans4,43. 平衡計分卡的四大構面，下列何者正確？(*609),資料庫構面、網路構面、醫學影像構面、資訊安全構面,財務構面、顧客構面、內部流程構面、外部流程構面,醫院構面、病人構面、保險構面、資訊構面,財務構面、顧客構面、內部流程構面、學習與成長構面,,,,
Ans2,44. 醫療管理決策支援，採用資料倉儲或資料探勘的技術，以下列何者為主？(*602),開放資料庫連結(Open Database Connectivity; ODBC),線上分析處理(Online Analytical Processing; OLAP),線上交易處理(Online Transaction Processing; OLTP),開放系統互連標準(Open System Interconnection Standard; OSIS)
Ans4,45. 關於 Integrating the Healthcare Enterprise (IHE)的敘述，以下何者錯誤？(*617-620),IHE 主要是為了建構健康資訊系統間的互操作性(Interoperability)。,健康資訊系統間的互操作性可分成三個層級，其中語意層級為最高層級。,IHE 的整合規範包含醫療作業流程中的「角色」與「交易」。,IHE 發展相關標準的程序，第一步是辦理實機連測。,,,,
Ans4,46. 病人資訊即為有關疾病、治療或藥物等幫助病人處理身體不適症狀之健康資訊；其與電子化健康之差異為病人資訊不一定要通過資訊科技來取得，傳統醫療院所提供之紙本資訊一樣可達到提供資訊的目的，請問下列何者不屬於病人資訊？(*541),醫學治療指導 ,另類治療 ,自我照護資訊 ,手術同意書,,,,
Ans1,47. 以下關於全民健保資料庫的敘述何者錯誤？(*551),健保資料屬於衛生福利資料應用管理要點中的二級資料。,健保資料的使用場所為衛生福利資料科學中心暨研究分中心獨立作業區。,健保資料申請核准後，使用期限為三年。,應用健保資料進行研究，仍需通過倫理委員會(IRB)審查。,,,,
Ans1,"48. 臺灣健康雲計畫包含醫療、照護、保健及防疫等四朵子雲，其中醫療雲是以民眾就醫紀錄為主軸，不包括下列哪一項服務？(*32, 39)",我的健康讚平臺及 App ,電子病歷交換中心,健保醫療資訊雲端查詢系統 ,民眾健康存摺,,,,
Ans3,49. 傳染病監測系統可以分為指標式與事件式兩種資料來源，下列何者屬於事件式傳染病監測系統？(*492~493),法定傳染病監視通報系統,實驗室自動通報系統,衛生署國家疫情指揮中心設立媒體訊息室，以隨時收集國內外疫情和輿情,肺炎及流感死亡即時監測系統,,,,
Ans1,50. 疾病管制署以傳染病倉儲系統(Warehouse System)整合各項疫情監視資料、疫情地理資訊系統(Geographic Information System)，可再與 BI 工具結合，為資料進行即時視覺化呈現與加值應用，提供防治決策參考。請問 BI 工具是下列何者？(*492),Business Intelligence .,Blockchain Intelligence,Business Intellectual ,Blockchain Intellectual,,,,
