Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4
Ans1,15. 快速健康照護互操作性資源(Fast Healthcare Interoperability Resources; FHIR)是由哪一個組織所發展的資料交換標準？(*71),國際健康資訊交換第七層協定協會(HL7),美國放射科醫學會(ACR)及國家電器製造商協會(NEMA),世界衛生組織(WHO),美國國家醫學圖書館(NLM)
Ans4,16. 醫療資訊標準的推動可帶來下幾個主要的好處，請問下列何種不屬於其中的好處？(*75),整合性 ,獨立性 ,提升國際競爭力 ,提高開發成本
Ans3,17. 資料庫管理系統的操作，可以透過 SQL 進行查詢與異動，所謂 SQL 是指下列何者？(*82), Standard Query Language, Standard Question Logic, Structured Query Language, Server Quality Level
Ans3,18. 有關關聯式資料庫的完整性限制，對於被參照資料表的主鍵(Primary Key)與參照資料表的外來鍵(Foreign Key)的敘述下列何者正確？(*95),被參照資料表的主鍵可為空值,主鍵的值在被參照資料表內可以重複,外來鍵的值必須是在被參照資料表的主鍵值或是空值,外來鍵在參照資料表內必須是唯一無二
Ans4,19. 下列何者是指在資料庫設計時，會遵循相同的設計模式，檢查資料是否重複存放，其目的是建立「良好結構的關聯表」，這是一種沒有重複資料的關聯表，而且在新增、刪除或更新資料時，不會造成錯誤或資料不一致？(*98),最小化(Minimization) ,最佳化(Optimization),視覺化(Visualization) ,正規化(Normalization)
Ans3,20. 在智慧醫院的發展中，透過感測器(Sensor)形成物聯網，提升醫療服務品質，物聯網 IOT 的縮寫是下列何者？(*110), Information Object Terms , Input Output Technology, Internet of Things , Interconnection Object Template
Ans1,21. ATM 可以依不同的資料型態，提供不同的服務品質來符合不同層次的網路服務需求；這些效能服務特質可以讓網路的使用者藉著它們將網路設計成一個以服務層次為導向的系統，以便讓網路具有更大的彈性，同時也讓網路具有區別服務層次的智能，請問 ATM 的全名是下列那一個？(*111), ATM(Asynchronous Transfer Mode) , ATM(Asynchronous Transportation Mode), ATM(Automated Teller Machine) , ATM(Automated Transfer Mode)
Ans2,22. 對於超高速乙太網路(Gigabit Ethernet)的敘述，下列何者不正確？(*121),採用 CSMA/CD 通訊協定 ,採用 IEEE 802.11 之標準規範,可以使用 SNMP 管理介面 ,可使用非遮蔽雙絞線(UTP)或光纖的線材佈線
Ans1,23. 台灣各家醫院為確保資安相關政策的推動，均在網路系統上配合採用健保資訊網封閉性專屬網路，設有多道防火牆，可大幅降低駭客入侵系統或盜取資料之風險，請問這個專屬網路是下列何者？(*136), VPN(Virtual Private Network) , PVC(Permanent Virtual Circuit), VAN(Value Added Network) , PTN(Public Transport Network)
Ans4,24. 資料封包過濾器防火牆可以依據管理者制定的規則，針對封包進行過濾檢查，不包括下列哪一項目？(*142),來源主機 IP 位址 ,來源及目標的 TCP/UDP Port Number,目標主機 IP 位址 ,透過 Email 傳送的電腦病毒
Ans1,25. 下列何者不是醫事憑證管理中心(HCA)核發的三種用戶憑證？(*163),全民健保卡病人憑證 ,醫事機構憑證,醫事人員憑證 ,伺服器應用軟體憑證
Ans4,"26. 新冠肺炎疫情全球爆發，台灣的防疫措施備受國際肯定，防疫指揮官陳時中部長指出三大關鍵因素，下列何者不屬於其中之一？(*173, 時事題)",警覺性高 ,過去防疫經驗,專家提供的專業建議 ,確診個資完全透明化
Ans4,27. 在隱私保護技術中，揭露資料前，首先要將能識別個人之欄位移除，這個動作稱之為何？(*174),差分隱私 ,資料正規化 ,多方私密計算 ,去識別化
Ans3,28. 醫院資訊系統委外比自行開發有許多優點，下列何者不正確？(*186),在規模上大型廠商在與設備、軟體供應商議價的時候，比較佔優勢,在經驗上，廠商遇到的客戶及情況較多，累積較豐富的經驗,在費用上，僅以有限的經費，可以要求廠商做出超出成本的建置,在專業上，廠商遇到轉換新系統或系統架構涉獵的機會相對較多
Ans3,29. 系統測試的程序包括 A:驗收測試、B：整體測試、C：單元測試、D：整合測試和 E：平行測試等五個步驟，一般的先後順序為何？(*218), A→B→C→D 或 E , C→B→A 或 E→D, C→D→A→B 或 E , E 或 C→D→B→A
Ans3,30. 當醫院要導入新資訊系統的階段，必須保持舊資訊系統繼續正常運作。如要比較新、舊資訊系統間所產生數據的對應關係，應進行何種測試？(*220),整合測試 ,整體測試 ,平行測試 ,單元測試
Ans4,31. 醫院之運作主要分為醫療事務、醫療照護和經營管理三大項，對於下列管理系統的敘述，何者不正確？(*253),住院管理和病歷管理是屬於醫療事務 ,藥品管理和營養管理是屬於醫療照護,績效管理和出納管理是屬於經營管理 ,醫令管理和人事管理是屬於醫療事務
Ans2,32. 臨床藥學專家將藥物不良反應的等級分為嚴重、中度、輕度三個等級，請問下列何者屬於輕度的不良反應？(*367),僅造成病人不舒服,僅延長病人住院時間,會延長病人住院時間，且造成病人不舒服,會造成病人死亡或危及生命 *註：本題依課本 P.367 出題，答案是B。但依據考生提出的資料，確實有些地方對於 ADR輕度有不同的定義，「輕度–無需治療、不用解藥」，是故本題答案A或B都給分。
Ans3,33. 下列哪一個屬於護理資訊系統中建置措施及結果的標準依據？ (*406), SNOMED , NHIRD , NANDA-I , NLM
Ans2,34. 下列何者不是疾病管制署的指標式傳染病監測系統(*492),法定傳染病監視通報系統 ,居家檢疫和隔離即時監視及預警系統,肺炎及流感死亡即時監測系統 ,實驗室自動通報系統
Ans2,35. 全民健保資料庫不包含以下何種分檔？(*556),門診處方及治療明細檔 ,放射檢查處方及報告檔,特約藥局處方及調劑明細檔 ,住院醫療費用清單明細檔
Ans1,36. 下列何者非需要遠距醫療的主要原因之一？(*589),到醫院就診容易發生交互感染 ,需要改進轉診及照會的品質,促進個案討論、學術交流 ,提供偏遠地區醫師繼續教育
Ans2,37. 下列何者不是健康資訊產業整合(IHE)協會主要的工作？(*619),制定醫療資訊系統的標準規範書供廠商作為產品開發的依據,開發建置符合標準的醫療資訊系統並銷售給醫療院所,定期辦理產品的實機聯測活動,公告各廠商的產品經過檢測和驗證
Ans4,38. 健康資訊產業整合標準(IHE)定義及公布的技術規範，是希望醫療資訊系統應具備哪一種特性？(*666), Availability(可用性) , Confidentiality(機密性), Integrity(完整性) , Interoperability(互操作性)
Ans3,39. 所謂 LOINC 是指下列何者的縮寫？(*86), Laboratory Object Identifiers Names and Codes, Laboratory Object Information Names and Codes, Logical Observation Identifiers Names and Codes, Logical Observation Interaction Names and Codes
Ans4,40. 下列有關加解密技術之描述何者正確？(*151-153),醫療憑證管理中心採用對稱性加密系統,非對稱性密碼系統，因為不需要考慮對稱性，所以速度較快,傳輸大量的資料一般會用非對稱性加密系統直接加密之,非對稱性密碼系統是因加密端與解密端用以加密與解密之金鑰不相同而得名
Ans2,41. 約有 10%藥物不良事件是由於藥物的交互作用所造成的，藥物不良事件英文簡稱為？(*352), AED , ADE , DAE , EAD
Ans2,42. 利用不同頻率的電磁波脈衝，引起人體不同器官內原子共振，再由原子回到基底狀態時，所放出的能量，引起磁場向量的改變，接收感應線圈電流再轉換成影像的是下列哪一種造影技術？(*377-378), CT (Computerized Tomography) , MRI (Magnetic Resonance Imaging), Ultrasound , PCR
Ans1,43. 病歷記錄的內容大都以 SOAP 的方式記錄，SOAP 的全名為？ (*321), Subject；Object；Assessment；Plan , Small; Object: Access; Protocol, Super; Object; Abstract; Plus , Subscribe; Order; Apply; Process
Ans4,44. 健康保險支付制度中，適用於長期照護論病例計酬的資源耗用群簡稱為下列何者？(*260), APGs , DRGs , HMOs , RUGs
Ans1,45. 以下那一項不是平衡計分卡的績效評估指標？(*608-609),服務構面 ,顧客構面 ,內部程序構面 ,學習與成長構面
Ans2,46. 資訊系統發展的各個階段會產生不同文件，下列敘述何者正確？(*203-207),系統設計階段會產生初步設計規範書 ,系統分析階段會產生系統需求規格書,系統發展階段會產生系統規格說明書 ,系統推行階段會產生程式說明書
Ans3,47. 以下何者不是電子病歷文件的特質？(*501),多重關係人(multiple stakeholders) ,多重照護型態(multiple type of cares),多重保障(multiple guarantee) ,多重資料格式(multiple forms of data)
Ans2,48. 在資訊安全的目標中，確保實體之行為可唯一追溯到該實體的特性，稱之為資訊的哪一個特性？(*137-138),整體性 ,鑑別性 ,可取用性 ,機密性 *註：送分，本題正解為可歸責性。
Ans2,49. 醫療管理決策支援，採用資料倉儲或資料探勘的技術，以下列何者為主？(*602),開放資料庫連結(Open Database Connectivity;ODBC),線上分析處理(Online Analytical Processing; OLAP),線上交易處理(Online Transaction Processing; OLTP),開放系統互連標準(Open System Interconnection Standard; OSIS)
Ans1,50. 以下關於全民健保資料庫的敘述何者錯誤？ (*551),健保資料屬於衛生福利資料應用管理要點中的二級資料,健保資料的使用場所為衛生福利資料科學中心暨研究分中心獨立作業區,健保資料申請核准後，使用期限為三年,應用健保資料進行研究，仍需通過倫理委員會(IRB)審查
