Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans4,21. 網路效能服務的門檻，由下列哪三者共同築成一個網路效能服務門檻基準？(*118),可取用性、延遲及網路能量 ,可靠度、可適應性及網路能量,可靠度、延遲及負載能力 ,可靠度、延遲及網路能量,201811,,
Ans4,22. 資訊安全的目標有所謂的 C.I.A.三原則，是指下列何者？(*137),防火牆、虛擬私有網路和認證中心,保護資料、系統和設備不要被駭客攻擊,資料的加密、解密和密鑰管理,保護資料及系統資源的機密性、整體性和可取用性,201811,,
Ans1,23. 在使用者、資料作業系統和電腦來源中設立足夠的關卡，以防範使用者透過程式去存取不是他自己的資料，這種概念符合哪一種安全目標？(*137),機密性 ,整體性 ,可取用性 ,可靠性,201811,,
Ans3,24. 下列哪一項不是虛擬私有網路(VPN)主要採用的技術？(*146~148),使用者與設備身分認證(Authentication) ,加解密(Encryption & Decryption),代理(Proxy) ,穿隧(Tunneling),201811,,
Ans4,25. 下列有關加解密技術之描述何者正確？(*151-153),醫療憑證管理中心採用對稱性加密系統,非對稱性密碼系統，因為不需要考慮對稱性，所以速度較快,傳輸大量的資料一般會用非對稱性加密系統直接加密之,非對稱性密碼系統是因加密端與解密端用以加密與解密之金鑰不相同而得名,201811,,
Ans3,26. 對於電子簽章的敘述，下列何者正確？(*159),電子簽章是使用自己的公開金鑰對文件進行運算,屬於對稱加密機制，採用 DES 演算法,必須將文件先以單向赫序函數處理產生訊息摘要，再以私鑰對訊息摘要進行運算產生電子簽章,電子簽章要應用於醫院電子病歷製作，目前還缺乏法源依據,201811,,
Ans4,27. 醫療憑證由醫事憑證管理中心(HCA)核發，醫事機構憑證宛如醫療院所之關防，而醫事人員憑證如同個人印鑑，請問下列何者屬於醫事人員？(*163),護理師 ,職能治療師 ,藥劑生 ,以上皆是,201811,,
Ans1,28. 下列何者不是可行的隱私保護技術？(*174~177),調閱病歷資料前，先以病人的健保IC卡簽章同意。,依據差分隱私定義什麼樣的回覆機制可以保證個人資料的隱私。,設置資料中心，讓使用者來中心使用資料，並限制使用者將資料帶出。,公開資料庫之前，先進行去識別化(Deidentification)。,201811,,
Ans4,29. 下列何者是專案成功的三大元素？(*199),人員、設備、資金 ,合約、監督、驗收,主持人、經費、時程規劃 ,品質、時間、成本,201811,,
Ans1,30. 資訊系統設計包括四個主要的方向，下列何者正確？(*206),資料設計、結構設計、程序設計和介面設計,.CPU 效能、記憶體容量、硬碟容量和網路頻寬計算,資料庫設計、網路設計、資訊安全設計、多媒體設計,需求設計、流程設計、程式設計和測試設計,201811,,
Ans1,31. 一般程式開發階段程式設計師所必須進行的測試項目以「單元測試（unit testing）」為主，單元測試係以系統中最小單位的程式模組為測試對象，一般採用下列何種技術來測試程式模組中的重要控制路徑，找出程式可能發生的錯誤。(*212),白箱測試(white box testing) ,黑箱測試(black box testing), α－測試(α－ testing) , β－測試(β－ testing),201811,,
Ans2,32. 資訊系統的壓力測試是在哪一個測試階段進行？(*220),驗收測試 ,整體測試 .,平行測試 .,單元測試,201811,,
Ans3,33. 醫院資訊系統建置完成後保固一年，對於程式撰寫錯誤或規劃錯誤所做的維護工作，是屬於哪一種維護？(*238),完善性維護 ,適應性維護 ,矯正性維護 ,預防性維護,201811,,
Ans4,34. 健康保險支付制度中，適用於長期照護論病例計酬的資源耗用群簡稱為下列何者？(*260), APGs , DRGs ., HMOs , RUGs,201811,,
Ans1,35. 下列對於臨床路徑的敘述何者錯誤？(*262),醫院在因應論量計酬支付制度，臨床路徑乃是諸多管理措施中最廣為採用之利器。,臨床路徑是一種固定的治療建議模式，讓病人由住院到出院都依此模式的規範來接受治療。,醫院可藉由臨床路徑來控制整個醫療成本並維持或改進醫療的品質。,臨床路徑希望找出最有成本效益的治療模式。,201811,,
Ans1,36. 病歷記錄的內容大都以SOAP的方式記錄，SOAP的全名為？ (*321), Subject；Object；Assessment；Plan ., Small；Object；Access；Protocol, Super；Object；Abstract；Plus ., Subscribe；Order；Apply；Process,201811,,
Ans3,37. 醫院HIS與LIS系統界接，其中資料流向是由LIS傳回HIS的是下列何者？ (*334),病人基本資料 ,醫令 ,結果報告 ,批價,201811,,
Ans2,38. 約有10%藥物不良事件是由於藥物的交互作用所造成的，藥物不良事件英文簡稱為？(*352),AED , ADE , DAE , EAD,201811,,
Ans2,39. 利用不同頻率的電磁波脈衝，引起人體不同器官內原子共振，再由原子回到基底狀態時，所放出的能量，引起磁場向量的改變，接收感應線圈電流再轉換成影像的是下列哪一種造影技術？(*377-378), CT (Computerized Tomography) , MRI (Magnetic Resonance Imaging), Ultrasound ., X Ray,201811,,
Ans3,40. 下列哪一個屬於護理資訊系統中建置措施及結果的標準依據？(*406),SNOMED , NHIRD , NANDA-I , NLM,201811,,
Ans4,41. 下列那一項不是臨床護理作業的資訊系統？(*408),護理評估系統 ,護理計畫系統,護理紀錄系統 ,護理品管系統,201811,,
Ans3,42. 下列那一項並非 JCAHO 建議的病人安全目標之一？(*471),預防手術錯誤 ,減少院內感染,電子病歷交換 ,增進藥物之用藥安全,201811,,
Ans2,43. 醫療不良事件之報告可結合警示系統及醫令系統的方式，於醫令資訊系統中提供決策支援輔助來協助該單位所要防止之醫療錯誤。請問「將會出現一個提示文字的對話方塊，需要使用者做確定回應，才執行下一步驟」是屬於下列何種程度的提示功能？(*477),輕度提示 ,中度提示 ,強度提示 ,超強度提示,201811,,
Ans2,44. 下列何者是疾病管制署的指標式傳染病監測系統中所謂 RODS？(*492),法定傳染病監視通報系統 ,即時疫情監視及預警系統,肺炎及流感死亡即時監測系統 ,實驗室自動通報系統,201811,,
Ans2,45. 公費流感疫苗已於今年 10 月 15 日起開始施打，提醒符合公費疫苗接種資格民眾，儘速接種流感疫苗，於流感進入流行季節前獲得保護力。請問今年成人只要滿幾歲以上即可施打？(*494、時事題),45 歲 ,50 歲 ,55 歲 ,60 歲,201811,,
Ans2,46. 健康資訊網站的評估標準，對於服務資訊內容必須適當的公開，所應揭露的資訊，不包括下列何者？(*545),醫師的專業 ,病人罹患的疾病和聯繫電話地址,贊助商或網站經費來源 , 作者或網管人員的聯絡方式,201811,,
Ans1,47. 以下關於全民健保資料庫的敘述何者錯誤？(*551),健保資料屬於衛生福利資料應用管理要點中的二級資料,健保資料的使用場所為衛生福利資料科學中心暨研究分中心獨立作業區,健保資料申請核准後，使用期限為三年。,應用健保資料進行研究，仍需通過倫理委員會(IRB)審查,201811,,
Ans1,48. 下列何者不是政府最近十年來發展遠距健康照護服務時期的主要工作內容？(*593~595),研究以ISDN或T1專線等各種不同頻寬網路進行遠距視訊同步會診,因應傳輸組合的多樣性，修訂完成遠距生理資訊傳輸驗測規範,於人潮聚集之公眾場所設立遠距生理量測據點，協助民眾做好自我健康管理,推動4G智慧照護服務計畫，執行遠距智慧健康照護平台建置,201811,,
Ans2,49. 醫療管理決策支援，採用資料倉儲或資料探勘的技術，以下列何者為主？(*602),"開放資料庫連結(Open Database Connectivity, ODBC)","線上分析處理(Online Analytical Processing, OLAP)","線上交易處理(Online Transaction Processing, OLTP)","開放系統互連標準(Open System Interconnection Standard, OSIS)",201811,,
Ans4,50. 國際 IHE 依據各醫療應用領域的特性，建立相關的技術架構，其中最適合應用於跨機構電子病歷資料交換過程的整合規範(Integration Profile)為何？(*624), CT(Consistent Time) , ATNA(Audit Trial and Node Authentication), SWF(Scheduled workflow) , XDS(Cross Enterprise Document Sharing),201811,,
