Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans1,27.當醫院要導入新資訊系統的階段，必須保持舊資訊系統繼續正常運作。如要比較新、舊資訊系統間所產生數據的對應關係，應進行何種測試?(*248),平行測試 ,整體測試 ,整合測試 ,單元測試,201511,
Ans3,28.醫院資訊系統建置完成後保固一年，對於程式撰寫錯誤或規劃錯誤所做的維護工作，是屬於哪一種維護?(*266),預防性維護 ,完善性維護 ,矯正性維護 ,適應性維護,201511,
Ans1,29.掛號及批價管理是醫院行政中的何種任務?(*279),醫療事務 ,經營管理 ,醫療照護 ,醫師服務,201511,
Ans2,30.在健保支付制度中，使用於長期照護的 RUGs ，是屬於下列哪一種?(*285),論量計酬 ,論病例計酬 ,論日計酬 ,論人計酬,201511,
Ans2,31.下列關於各種健保支付制度的敘述何者正確?(*286),論量計酬-有效控制醫療費用上漲 ,論日計酬-作業簡單，行政成本低,論人計酬-醫師的醫療行為自主權高 ,總額預算制-行政作業成本低,201511,
Ans1,32.下列何者不是檢驗室建構檢驗資訊系統的優點?(*365),增加病人住院日，減少病床周轉率 ,減少批價漏失,可準確複檢檢體，減少試劑浪費 ,增加病歷紀錄的完整性,201511,
Ans4,33.對於醫學影像存取與傳輸系統 PACS 的敘述，下列何者錯誤(*405),是 Picture Archiving and Communication System 的縮寫,從數位化的影像設備取得影像,透過放射科資訊系統 RIS 的界面，可以取得病人的基本資料,只能在院內區域網路(LAN)傳輸，無法透過廣域網路(WAN)跨院傳輸,201511,
Ans4,34.利用醫療影像存取與傳輸系統(PACS)可讓各院的影像能自由自在的相互傳輸、整合，以達到診斷或治療計畫的參考，主要是靠下列何種協定來完成?(*405),SNOMED ,LOINC ,NANDA ,DICOM,201511,
Ans3,35.對於臨床路徑的敘述，下列何者不正確?(*481),根據某種疾病或某種手術方法制定了一種治療模式，讓病患由住院到出院都依此模式來接受治療,路徑完成後，根據結果來分析、評估及檢討每一個病人的差異，以避免下一個病人發生同樣的差異或錯誤,先追求讓病患在最短的住院日數內，就可以痊癒出院，而不須顧慮在一定時間內，病患會不會為了同一種疾病再次住院,找出一種最適當的治療方法，暨可以減少醫療費用，又可以維持或改進醫療品質的模式。,201511,
Ans4,36.疾病監測也稱流行病學監測，是指透過持續的收集、分析、解釋、描述疾病相關資料，進而有效控制疾病。下列何者是疾病監測的目的?(*527),制定與評估防疫政策 ,偵測即時疫情 ,建立疾病自然史 ,已上皆是,201511,
Ans2,37.登革熱屬於那一類傳染病?(*529),第一類 ,第二類 ,第三類 ,第四類,201511,
Ans2,38.電子病歷上之簽名或蓋章，依法應以電子簽章方式為之，且應在病歷製作後多久內完成?(*548),12 小時 ,24 小時 ,48 小時 ,72 小時,201511,
Ans2,39.戴明的 PDCA 循環是指下列何者?(*565),Plan， Diagnosis， Control， Assessment,Plan， Do， Check，Action,Paper， Document， Change， Access,Plan， Do， Check， Assessment,201511,
Ans1,40.全民健保資料庫的承保抽樣歸人檔，不包含下列哪一種檔案?(*598),急診處方及治療明細檔 ,門診處方及治療明細檔,特約藥局處方及調劑明細檔 ,住院醫療費用清單明細檔,201511,
Ans1,41.在資訊時代，醫療企業掌握「贏」的最大關鍵在於?(*652),如何把資料轉換成資訊，再將資訊轉換成知識,如何把時間轉換成空間，再將空間轉換成人間,如何把人流轉換成物流，再將物流轉換成金流,如何把紙本轉換成電子檔，再將電子檔轉換成數位檔,201511,
Ans1,42.下列有關醫療資訊標準之敘述何者錯誤?(*85),健保署目前採用 ICD-10-CM 做為保險給付之疾病代碼標準,SNOMED 允許使用者自行利用其多軸組合的機制來描述複雜的症狀及診斷,LONIC 是目前臨床檢驗檢查編碼系統的主流,MeSH 是一套專為醫學文獻分類所設計的樹狀詞彙系統。,201511,
Ans1,43.下列何者為正確的敘述?(*85-90),ICD-9 的 9 代表第九版 ,健保署目前使用的是 ICD-10,HL7 的 7 代表第七版 ,DICOM 是醫療數值資料的傳輸交換標準,201511,
Ans4,44.對於 HL7 的相關敘述，下列何者錯誤?(*88),HL7 是屬於共識型標準,HL7 協會已經成為美國 ANSI 認可的標準發展組織,HL7 標準的 3.0 版本採用物件導向式設計,HL7 標準的 3.0 版本在訊息傳送格式上，仍然採用傳統 CSV，並不支援 XML 格式,201511,
Ans3,45.各醫療儀器廠商常宣稱支援標準，但實際連測時卻常互不相容，因此美國 HIMMS 和RSNA 兩大協會於 1999 年開始，共同定出何種技術架構，解決系統互操作性(Interoperability)的問題?(*90),邏輯檢驗檢查編碼系統(LOINC) ,臨床文件架構(CDA),健康資訊產業整合(IHE) ,統一醫學語言系統(UMLS),201511,
Ans2,46.下列關於醫療資訊標準推動的好處何者錯誤?(*93),交換性：跨醫療院所交換資料無需修改程式或資料庫,整合性：在相同的標準下，不同功能之系統下進行整合，必須把所有系統交由同一廠商承包,獨立性：可做單獨系統之修改或升級，而不必擔心影響其它系統,提升國內醫療資訊產業競爭力,201511,
Ans3,47.資料庫在醫療資訊系統之扮演十分重要的角色，下列有關資料庫之敘述何者錯誤?(*98),資料庫必須要有一個資料庫管理系統,資料庫是指一群相關資料的集合體，可有效的組織、儲存和查閱相關資料,使用者需要知道存放資料的磁碟實體位置,資料庫管理系統是介於使用者與資料檔案間的中介軟體系統,201511,
Ans2,48.醫療管理決策支援，採用資料倉儲或資料探勘的技術，以下列何者為主?(*653),"開放資料庫連結(Open Database Connectivity, ODBC)","線上分析處理(Online Analytical Processing, OLAP)","線上交易處理(Online Transaction Processing, OLTP)","開放系統互連標準(Open System Interconnection Standard, OSIS)",201511,
Ans4,49.ICD-10-CM/PCS 中的 PCS 代表?(時事題，*85),Program Coding System ,Process Coding System,Progress Coding System ,Procedure Coding System,201511,
Ans2,50.電腦間通訊的基本原則是由下列哪一個組織所制定的 OSI (Open SystemsInterconnection) reference model? (*87), ANSI , ISO , EDIFACT , CEN,201511,
