Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans3,22. 在 ISO 27001 的規範中，”確保實體的行為可唯一追溯到該實體的特性”，此特性稱為？(*138),整體性 ,鑑別性 ,可歸責性 ,可靠性,202011,
Ans1,23. 下列關於一般防火牆的敘述何者錯誤？(*141-143),可比對入侵行為特徵碼 ,可過濾封包來源及目的 IP 位址是否合法,可改變進出交通的 IP 位址 ,可過濾封包是否使用合法的 TCP/UDP 埠號,202011,
Ans4,24. 下列有關加解密技術之描述何者正確？(*151~153),醫療憑證管理中心採用對稱性加密系統,非對稱性密碼系統，因為不需要考慮對稱性，所以速度較快,傳輸大量的資料一般會用非對稱性加密系統直接加密之,非對稱性密碼系統是因加密端與解密端用以加密與解密之金鑰不相同而得名,202011,
Ans3,25. 以下何者不是醫學資訊對電子簽章的要求？(*162~163),團體簽章 ,可偵測是否遭到修改 ,可察覺的 ,可解碼的,202011,
Ans1,26. 下列何者不是可行的隱私保護技術？(*174~177),將病歷儲存到資料庫之前都去識別化，任何系統都不能再讀取該筆資料,依據差分隱私定義什麼樣的回覆機制可以保證個人資料的隱私。,設置資料中心，讓使用者來中心使用資料，並限制使用者將資料帶出,以多方私密計算處理資料庫連結的問題,202011,
Ans2,27. 下列何者不是資訊系統委外開發的優點？(*186),具有規模的系統廠商比較有能力購買大型、功能強大且有效率的設備,廠商之間競爭激烈，可以用有限的經費，要求廠商做超出成本的建置,廠商遇到的客戶及情況較多，累積豐富的專案經驗,廠商和許多不同的客戶往來，較有機會涉獵新科技，專業能力強,202011,
Ans2,28. 資訊系統發展的各個階段會產生不同文件，下列敘述何者正確？(*203~207),系統設計階段會產生初步設計規範書 ,系統分析階段會產生系統需求規格書,系統發展階段會產生系統規格說明書 ,系統推行階段會產生程式說明書,202011,
Ans3,29. 系統開發過程中要完成各種方式的測試，包括 A：α 測試、B：β 測試、C：黑箱測試、D：白箱測試、和 E：整體測試或平行測試，一般先後的順序為何？(*218),A->B->C->D->E ,C->B->A->E->D,D->C->A->B->E ,E->D->C->B->A,202011,
Ans1,30. 以下那一項不是平衡計分卡的績效評估指標？(*608~609),服務構面 ,顧客構面 ,內部程序構面 ,學習與成長構面,202011,
Ans3,31. 當醫院要導入新資訊系統的階段，必須保持舊資訊系統繼續正常運作。如要比較新、舊資訊系統間所產生數據的對應關係，應進行何種測試？(*220),整合測試 ,整體測試 ,平行測試 ,單元測試,202011,
Ans2,32. 對於系統維護的敘述，下列何者不正確？(*238),改善未來系統之可靠性與奠定系統功能強化基礎是屬於預防性維護。,增加新功能或改良原系統功能的工作，是屬於矯正性維護。,嘗試修改或是新增介面功能來適應外在環境變化，是屬於適應性維護。,專案系統普遍以一年期間的保固維護，是屬於矯正性維護。,202011,
Ans1,33. 下列對於臨床路徑的敘述何者錯誤？(*262),醫院在因應論量計酬支付制度，臨床路徑乃是諸多管理措施中最廣為採用之利器。,臨床路徑是一種固定的治療建議模式，讓病人由住院到出院都依此模式的規範來接受治療。,醫院可藉由臨床路徑來控制整個醫療成本並維持或改進醫療的品質。,臨床路徑希望找出最有成本效益的治療模式。,202011,
Ans3,34. 依照耗用量的多寡將藥品分成四類，請問「一般藥品」這一類約佔醫院藥品的百分之多少？(*363),20,40,70,90,202011,
Ans3,35. 下列哪一個屬於護理資訊系統中建置措施及結果的標準依據？(*406),SNOMED ,NHIRD ,NANDA-I ,NLM,202011,
Ans2,36. 下列何者不是國際間發展護理資訊系統所使用的標準化語言？(*406、407),護理措施分類(Nursing Intervention Classification; NIC)和護理結果分類(Nursing Outcome Classification; NOC),護理排班分類代碼(Nurse Scheduling Classification Code; NSCC),國際護理作業分類系統(International Classification for Nursing Practice; ICNP),臨床照護分類(Clinical Care Classification; CCC),202011,
Ans3,37. 在診間醫令系統的 SOAP 查詢電子病歷時，醫師常會使用「ditto」這項功能來進行下列何者作業？(*425),更新 ,刪除 ,複製 ,取代,202011,
Ans2,38. 套裝醫令可以減少醫師開立醫令的時間，下列何者不屬於常見的套裝醫令？(*435),個人套裝醫令 ,跨科套裝醫令,系統套裝醫令 ,部門套裝醫令,202011,
Ans4,39. 臨床路徑實施後，重要的是要檢討臨床路徑的差異(variance)，請問下列何種不是差異的種類之一？(*453),無差異 ,病人的差異 ,醫師的差異 ,入院的差異,202011,
Ans1,40. 1999 年美國國家科學院醫學研究所發布的 To Err is Human 報告，主要是關於哪一種議題？(*470),因醫療錯誤導致病人死亡的比例很高，應提升病人安全。,駭客入侵資訊系統嚴重，應提升電子病歷資訊安全。,新興傳染病的致死率偏高，應防止院內感染，提升醫療工作環境安全。,交通意外事故死亡人數增加，應提升緊急救護技能和交通安全宣導。,202011,
Ans2,41. 2016年起考量醫院病安年度目標不宜太多，維持八大目標，請問下列何種不是八大目標之一？(*472),提升手術安全 ,落實人員管制,提升用藥安全 ,提升管路安全,202011,
Ans3,42. 下列何者不是傳染病監測與資訊科技的發展趨勢？(*494~496),運用行動科技和雲端平台，提升防疫系統效能。,加強整合運用政府開放資料加值應用及大數據分析。,以人臉辨識技術來監控及限制民眾自由活動的範圍，防止疫情擴散。,導入新興科技，結合線上分析軟體、數理統計模式以及地理資訊系統。,202011,
Ans4,43. 電子病歷簽章應憑中央主管機關核發之醫事憑證為之，但醫療機構有訂定其他符合電子簽章法規定之簽章方式者，得依其方式為之，是依據哪一種法規？(*511),數位病歷簽章法 ,醫療法,醫師法 ,醫療機構電子病歷製作及管理辦法,202011,
Ans2,"44. 財團法人醫院評鑑暨醫療品質策進會簡稱醫策會，下列何者不是該組織相關的業務？(*525, 526)",臺灣臨床成效指標計畫(TCIP) ,臺灣醫療照護品質指標系列(THIS),新制醫院評鑑 ,國家醫療品質獎競賽,202011,
Ans1,"45. 醫學教育資訊分類，對於 A：電子化健康、B：病人資訊、及 C：消費者健康資訊等三者，是否需要利用科技產品或技術來提供資訊，下列何者正確？(*541, 542)",A 需要，而 B 和 C 不一定要 ,A 和 C 需要，而 B 不一定要,A、B 和 C 三者都需要 ,A、B 和 C 三者都不一定要,202011,
Ans3,"46. 對於全民健康保險研究資料庫的敘述，下列何者不正確？(*556, 557)",具編號欄位且經識別化處理，有限制使用對象和使用場所的一級資料。,可以進行單一疾病為導向的研究，或政策影響分析等外在因子研究。,醫令明細檔以單一欄位就可辨識個別就診紀錄，資料檔案間容易串聯。,衛生福利部成立資料科學中心提供健保資料庫使用之申請服務。,202011,
Ans4,47. 下列何者對於改善偏遠地區的醫療資源缺乏和醫師教育最有幫助？(*589),傳染病電子病歷自動通報 ,電子病歷交換,健保論病例計酬 ,遠距醫療,202011,
Ans2,48. 醫療管理決策支援，採用資料倉儲或資料探勘的技術，以下列何者為主？(*602),開放資料庫連結(Open Database Connectivity; ODBC),線上分析處理(Online Analytical Processing; OLAP),線上交易處理(Online Transaction Processing; OLTP),開放系統互連標準(Open System Interconnection Standard; OSIS),202011,
Ans2,49. 建構資料倉儲商業智慧系統，主要之成功關鍵因素不包括下列何者？(*607),確立管理者目標 ,確立組織資金充裕,了解產品的趨勢 ,專業技術與專業顧問參與,202011,
Ans2,50. 健康資訊科技的互操作性(Interoperability)，可以區分為不同層級的資料解譯，越高層級越不容易處理，下列哪一層級最高？(*617),基礎(foundational) ,語意(semantic),結構化(structural) ,語法(syntax),202011,
