Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Ref_Page,Chapter
Ans1,13.用於問題導向病歷紀錄中的程序，稱之為? (*458),Subject Object Assessment Plan,Symptom Oriented Analysis Process,Simple Object Access Protocol,Syndrome Oriented Alert Protocol,201010,(*458),
Ans4,14.下列那一項有關 HL7 的描述是錯誤的? (*96),HL7 是一種健康資訊的交換標準,HL7 的 7 代表第七層的應用層,HL7 目前最新的版本是第三版,HL7 是 Health Label 7 的縮寫,201010,(*96),
Ans1,"15.對 IHE，下列敘述何者為非？ (*673,676,683)",提供影像儀器製造商、系統廠商與病人間之共通語言,採用既有如 HL7、DICOM 標準制定共通的資訊交換規格,XDS 係提供醫療院所間病歷分享交換規範,以物件導向之技術架構,201010,"(*673,676,683)",
Ans2,16.醫療影像儲存、交換、傳輸標準是採用國際通用的醫療影像標準DICOM，即是數位醫學影像及傳輸(Digital Imaging and Communicationsin Medicine)，主要是訂定各式(Modalities)醫療影像傳輸的標準規格，可應用在? (*402),實證醫學(EBM) ,磁振造影(MRI),診斷關聯群(DRG) ,以上皆非,201010,(*402),
Ans4,17.下列那一項系統不屬於臨床護理作業系統？ (*429),出院準備服務系統 ,護理記錄系統,護理計畫系統 ,護理品管系統,201010,(*429),
Ans1,18.有關我國醫療憑證之敘述何者不正確？ (*185),醫療憑證由政府憑證管理中心(GCA)簽發,醫事人員憑證有如個人印鑑,醫事人員包含護士,醫事機構憑證有如醫療院所之關防,201010,(*185),
Ans4,19.正規化(Normalization)最常使用於下列何種資料庫結構? (*116),網狀式 ,階層式 ,物件導向式 ,關聯式,201010,(*116),
Ans2,20.下列何者不是一般床邊監視器記錄的生理參數? (*415),體溫,腦波,末期潮氣容積二氧化碳,心搏輸出量,201010,(*415),
Ans3,21.全民健保資料庫不包含以下何種分檔? (*599),門診處方及治療明細檔,特約藥局處方及調劑明細檔,特約檢驗所檢驗結果資料檔,住院醫療費用清單明細檔,201010,(*599),
Ans3,22.心理評估資料加密後儲存，這是要提升資訊資產的何種性質? (*161), availability , accountability , confidentiality , integrity,201010,(*161),
Ans1,23.知情同意書(informed consent)設計的立論基礎是為了個人的何種權益?(*195),自主權 ,隱私權 ,工作權 ,受教權,201010,(*195),
Ans1,24.下列敘述何者錯誤？ (*116),經過正規化(normalization)後，可較容易檢視資料, 關聯式資料庫的基本元素為關係(relation), 所謂的 table 就是關係的表示方式之一,SQL 是用來查詢資料庫的語言,201010,(*116),
Ans3,25.下列何者為非？ (*173), RSA 為非對稱金鑰密碼系統, DES 為對稱金鑰密碼系統, PKI 的基礎為對稱金鑰密碼系統, 對稱金鑰系統加解密效率較佳,201010,(*173),
Ans4,"26.下列有關隱私權之敘述何者正確? (*193,194)",對個人不會造成傷害的資料不算隱私資料, 保障個人隱私會造成治安問題，為公眾利益可犧牲個人隱私, 君子坦蕩蕩實在沒什麼隱私保護的問題,資訊隱私是指個人控制其個人資訊的權利,201010,"(*193,194)",
Ans2,27.有關資料庫的主鍵(primary key)的描述何者錯誤？ (*112-113),主鍵必須唯一,主鍵可以為虛值(null),個人資料的主鍵多使用身分證字號,病歷號碼可作為主鍵使用,201010,(*112-113),
Ans2,28.對無線網路之描述，下列敘述何者為非？(*131-134),適合網路標準 802.11a/b/g/z,利用射頻(RF)技術建立網路連結,具漫遊(roaming)特性,目前最大資料傳輸速率可達 54Mbps,201010,(*131-134),
Ans2,29.美國國家安全局以稱為「橘皮書」發布，將電腦系統安全信任程度予以分級。其分級數與我國行政院頒定之「政府機關（構）資訊安全責任等級分級作業施行計畫」相同，請問共分幾大等級？ (*162), 3 級 , 4 級, 5 級 , 6 級,201010,(*162),
Ans3,30.在健保支付制度中，RUGs 於長期照護是屬? (*281-283), 論量計酬 , 論日計酬, 論病例酬 , 論人計酬,201010,(*281-283),
Ans3,31.檢驗資訊系統可提供病人檢驗結果做比對，並提供異常警示之功能。如果檢驗結果係採與設定的檢驗危急值比較，則稱為? (*360),區間值比對(reference check),前後值比對(delta check),危險值比對(panic check),以上皆非,201010,(*360),
Ans2,32.藥物不良反應(adverse drug reaction; ADR)是病人傷害的來源之一。臨床藥學專家將 ADR 分為三個等級，其中，會延長病人住院時間，且造成病人不舒服者屬? (*391),嚴重的不良反應 ,中度的不良反應,輕度的不良反應 ,以上皆非,201010,(*391),
Ans1,33.下列那一系統會採中央即時生理訊號監控? (*417),臨床加護資訊系統 ,護理資訊系統,門診資訊系統 ,檢驗資訊系統,201010,(*417),
Ans4,34.下列何項功能作業一般不會設計於醫院之門診診間系統中? (*461),檢查排程 ,開立診斷證明書,預約掛號 ,現金收費,201010,(*461),
Ans3,35.「醫療機構以電子文件方式製作及儲存之病歷，得免以書面方式製作…」，係出於? (*546),電子簽章法 ,醫師法 ,醫療法 ,醫事法,201010,(*546),
Ans2,36.就法而言，醫院實施電子病歷生效日期為? (*549-552),醫院公開宣告實施電子病歷日期,醫院向衛生主管機關行文備查實施日期,衛生主管機關准予核備日期,經衛生主管機關或授權之機構檢查通過日期,201010,(*549-552),
Ans1,37.依民國 98 年 8 月 11 日公告之「醫療機構電子病歷製作及管理辦法」，下列敘述何者正確? (*549~552),電子簽章，應於病歷製作後二十四小時內完成之,電子病歷之簽章，應憑中央主管機關核發之憑證為之,電子病歷須經中央主管機關加註時戳,醫院評鑑或全民健康保險之主管、主辦機關不須特殊理由，可要求醫院交付書面病歷,201010,(*549~552),
Ans1,38.下列哪一種標準是由一群各相關領域之志願者在自由開放的方式下進行會議討論及標準制定程序所產生的標準，如醫療訊息標準組織 HL7？(*90),共識型標準 ,政府強制型標準,實質標準 ,任務導向標準,201010,(*90),
Ans1,39.病人在診療中，下列何項在醫令系統警示，不須通報至衛生相關單位?(*375),過敏藥物 ,傳染病,藥物不良反應 ,以上均是,201010,(*375),
Ans3,40.就醫院藥學管理系統中，下列敘述何者為非? (*383), stat order 指藥囑配發一次量，每次劑量等於總量, DC 指取消醫(藥)囑, UD 指一次只給一種藥,首日量指病人第一天住院所使用藥物劑量需求,201010,(*383),
Ans3,41.一般醫院對病歷之管理，下列何者為非? (*342),審查分「量」與「質」兩種,病人出院後最晚需 3 天內送回病歷室,病人出院後最晚需 30 天內補全未完成之病歷,訂有獎懲規定,201010,(*342),
Ans1,42.衛生署增列社團法人醫療機構類型，與現行財團法人醫療機構合稱為下列哪種醫療機構？(*7),法人 ,自然人,私人 ,以上皆非,201010,(*7),
Ans4,43.為解決政府財務及人事等壓力，部分公立機構將所屬醫院委託民間企業或私立醫學院校經營，下列哪家醫院屬於 BOT(Build、Operate、Transfer)的醫院？(*11),台北市萬芳醫院 ,台南市立醫院,高雄市立小港醫院 ,署立雙和醫院,201010,(*11),
Ans4,44.通過甲級教學醫院評鑑者可訓練下列哪種醫師？(*12),見習醫師 ,實習醫師,住院醫師 ,以上皆是,201010,(*12),
Ans3,45.由於第三者之介入，促使醫療市場邁入醫療提供者、病患與醫療保險者三者之間新的互動關係，請問第三者是指？(*26),醫療提供者 ,病患,醫療保險者 ,政府機構,201010,(*26),
Ans4,46.醫療服務慢慢從以往著重在醫療照護的層面，逐步地走向下列哪種照護的層面？(*31),個人 ,居家 ,社區 ,健康,201010,(*31),
Ans1,47.電子病歷係指一個人的健康或醫療資訊藉由電腦加以儲存的集合，並可由下列哪種識別碼加以連結？(*37),個人識別碼 ,外來識別碼,主要識別碼 ,醫院識別碼,201010,(*37),
Ans2,48.隨著 DNA 技術的研發，生物科技持續快速進步中，醫療產業亦將逐漸由共通性醫療走向下列哪種醫療？(*40),整合化 ,個別化 ,特殊化 ,多樣化,201010,(*40),
Ans2,49.下列哪一種系統可視為整體住院系統的核心單位？(*80),手術室管理系統 ,住院醫囑系統,護理站系統 ,住院管理系統,201010,(*80),
Ans3,50.ICD-9-CM 中的 CM 是代表？(*94),Classified Modification ,Certified Modification,Clinical Modification ,Centralized Modification ,201010,(*94),
