Correct Answer(s),Question,Answer1,Answer2,Answer3,Answer4,Year,Chapter
Ans3,20: 醫療影像儲存、交換、傳輸標準是採用國際通用的醫療影像標準 DICOM，即是數位醫學影像及傳輸(Digital Imaging and Communications in Medicine)，主要是訂定各式(Modalities)醫療影像傳輸的標準規格，可應用在 ? (*407),實證醫學(EBM) ,診斷關聯群(DRG),電腦斷層(CT) ,以上皆非,201303,
Ans3,21: 許多醫療機構護理資訊系統的架構，還是以下列何者之護理問題及內容為護理過程及護理資料庫建置的基礎 ? (*425),CANDA ,LANDA ,NANDA ,PANDA,201303,
Ans4,"22: 對醫院門診診間醫令系統，下列敘述何者為非 ? (*459,460,462)",包含排程作業系統,線上病歷複製術語稱 ditto,診斷碼目前採用 ICD-9,為免影響醫生看診速度，藥物交互作用等提示不應出現,201303,
Ans2,23: 下列那一項並非施行臨床路徑的優點之一 ? (*491),避免醫院治療系統的故障 ,延長住院日數以提升滿意度,減少病人的住院醫療費用 ,減少併發症的發生,201303,
Ans4,24: 臨床路徑是由組織內的一群人員，根據某種疾病或某種手術方法制定了一種治療模式，讓病患由住院到出院都依此模式來接受治療。下列何者不是實施臨床路徑的優點 ? (*491),縮短住院日數 ,減少病人的住院醫療費用,減少併發症的發生 ,增加醫院收入,201303,
Ans4,25: 下列那一項並非六大病人安全目標之一 ? (*508),提升用藥安全 ,預防病人跌倒,提升手術正確性 ,禁止異常事件通報,201303,
Ans3,26: 下列那一項不是病人安全資訊系統 ? (*511),不良醫藥事件通報系統 ,二維條碼手環辨識系統,藥品採購管理系統 ,無線射頻身分辨識系統,201303,
Ans4,27: 當門診醫生於看診時診斷病人是法定傳染病時，依法規醫院必須於規定時限內通報下列何單位 ? (*528),國家衛生研究院 ,國民健康局,中央健康保險局 ,疾病管制局,201303,
Ans4,28: 電子病歷是文件的一種，而就不同的觀點可將其歸類為三種不同特性的文件，下列何者並非三種特性之一 ? (*539),複雜的文件 ,私人的文件,延續照護的可信賴資料來源 ,可公開閱覽的文件,201303,
Ans2,29: 下列何者非電子病歷的發展趨勢 ? (*544),一致化的國際醫療資訊標準格式 ,集中式的資料管理,多樣化的人機介面 ,任何時間、地點皆可存取的個性化系統,201303,
Ans3,30: 下列那一項法令與實施電子病歷無關 ? (*546),電子簽章法 ,醫師法 ,專科護理師法 ,醫療法,201303,
Ans1,31: 裘蘭提出所謂的品質三部曲（Juran Trilogy）是指 ? (*563),由品質規劃期到品質控制期再到品質改善期,由品質控制期到品質規劃期再到品質改善期,由品質規劃期到品質改善期再到品質控制期,以上皆是,201303,
Ans1,32: PDCA 循環是指 ? (*567),Plan， Do， Check， Action,Plan， Do， Control， Action,Plan， Document， Check， Action,Plan， Do， Check， Assess,201303,
Ans1,33: e-Health 的 e 代表 ? (*579),electronic ,electable ,elaborate ,elucidative,201303,
Ans4,34: 自 1998 年起，中央健保局將全民健保資料庫，委託那一個單位建立以學術研究為目的之研究資料庫 ? (*597),中央研究院 ,國家科學委員會,國民健康局 ,國家衛生研究院,201303,
Ans3,35: 台灣遠距醫療之發展源自 1994 年開始推動之國家資訊基礎建設，該建設之英文簡稱為 ?(*647),CII ,III ,NII ,以上皆非,201303,
Ans1,"36: 對於 IHE，下列敘述何者為非 ? (*673,676,683)",使用 XLS 提供醫療院所間病歷分享交換規範,以物件導向之技術架構,採用既有如 HL7、DICOM 標準制定共通的資訊交換規格,提供影像儀器製造商、系統廠商與醫院間之共通語言,201303,
Ans3,37: 以下何種醫療代碼與醫療保險給付有較密切的關係? (*94-95),LOINC ,MeSH ,DRGs ,UMLS,201303,
Ans3,38: 下列那一項有關 HL7 的描述是錯誤的 ? (*96),HL7 是一種健康資訊的交換標準 ,HL7 的 7 代表第七層的應用層,HL7 目前最新的版本是第七版 ,HL7 是 Health Level 7 的縮寫,201303,
Ans3,"39: 下列與電子簽章有關之敘述，何者有誤 ? (*172-175, 181-182)",我國電子簽章法係 2011 年立法通過,我國電子病歷採電子簽章係為取代醫師人工簽章,我國電子病歷採用之電子簽章加解密方式係採對稱式(正向),電子簽章的立法三大原則為「技術中立」、「契約自由」及「市場導向」。,201303,
Ans4,40: 對於醫療資訊之揭露與隱私保障，下列敘述何者有誤 ? (*193-198),就醫或體檢紀錄都屬於個人隱私，受法律保護範圍,我國對隱私保護的法規(簡稱)為個資法,表現個人控制其隱私權之核心概念在於行使知情同意權,病歷因必須在醫院間方便轉診及避免重複醫療，故可不須經當事人同意下於醫療機構間交換。,201303,
Ans2,"41: 下列何者對於健保 IC 敘述何者有誤 ? (*177,199)",可作為(就醫)身分憑證,所有須儲存、註記於 IC 卡內的資料均屬強制性，無選擇性,因健保保險醫療行為時可直接讀取內容，不須再詢問經病人同意,讀取 IC 卡內容之醫療資料區段須有醫師卡或醫療機構卡,201303,
Ans1,42: 在資訊系統測試期間，因修正動作持續不斷進行，為確保提供的系統係最新且一致，所須採用的管控為 ? (*243),版本管控 ,架構管控 ,人員管控 ,安全管控,201303,
Ans4,43: 對醫院住院管理，下列敘述何者正確? (*278-279),住院的唯一管道是經由急診轉入,住院帳務不須日結，而是於病人出院當日一次總結算,平均住院日愈高，表示醫院經營績效愈好,一般住院程序，雖經醫院開立入院通知，但仍須等待與確認有空床後才能辦理入院,201303,
Ans2,44: 有關健保申報，下列敘述何者正確 ? (*285-286),可採媒體或紙本申報,門診與住院分開申報,所有病人的所有就醫(醫令、檢查等)均強制納入申報,申報無期限規範，但愈晚申報，愈慢獲得給付,201303,
Ans2,"45: 就急診與住院，下列敘述何者為非 ? (*286-288,315-320)",住院有長期與臨時醫囑之分，急診則無,急診與住院醫令經醫師開立後，均須經護理在資訊系統做「執行確認」,住院有出院記錄(discharge note)，急診則無,急診有檢傷分類，住院則無,201303,
Ans4,46: 為提供醫師開立醫令之方便性，常會提供的配套功能為? (*322-323),醫令套餐 ,複製功能 ,常用處置或品項 ,以上皆是,201303,
Ans1,47: 對檢驗資訊系統，下列敘述何者為非 ? (*353-363),檢驗資訊系統不包括與儀器介接,執行項目不僅包括抽血、驗尿等，也包括病理組織,檢驗醫令係由前端醫師開立後下傳，非由檢驗師開立,檢驗資訊系統包括產生檢驗報告功能,201303,
Ans4,48: 下列那一項是單一劑量的常用醫囑類別 ? (*383-384),重整藥囑(renew order) ,需要時使用藥囑(prn order),立即給藥藥囑(state order) ,以上皆是,201303,
Ans2,49: 下列何者不是護理資訊系統的範圍 ? (*428-429),護理排班 ,出院批價 ,出院準備 ,護理品質,201303,
Ans2,50:下列對於健保給付制度優缺點比較何者有誤 ? (*27-34),論量計酬對於醫師的醫療行為自主權較高，但易間接鼓勵助長醫療費用上漲,論病例計酬可以適用所有疾病項目,論人計酬會使醫院對醫療成本降低，但是會減少醫院對病人的醫療項目影響醫療品質,總額給付，可減低中央健保局財務負擔，但會造成醫院營收減少，可能產生人球事件,201303,
